,Cities,Cloudiness,Humidity,Latitude,Temperature (F),Wind Speed
0,Mudbidri,20,78,13.08,78.8,3.36
1,Ushuaia,90,45,-54.8,48.38,5.82
2,Xarqueada,0,27,-9.49,102.03,14.81
3,Qaanaaq,88,100,77.48,19.5,2.84
4,Pangnirtung,20,67,66.15,17.6,2.24
5,Usinsk,88,97,65.99,31.47,5.97
6,Irbid,0,53,32.56,73.42,9.17
7,Grindavik,75,81,63.84,42.8,6.93
8,Puerto Madryn,0,77,-42.77,53.61,6.76
9,Beruwala,92,90,6.48,83.85,13.69
10,Barenburg,92,93,52.62,56.75,10.29
11,Port Elizabeth,0,60,-33.92,68.0,5.82
12,Dikson,92,99,73.51,29.72,13.8
13,Buchanan,75,74,5.88,87.8,13.87
14,Bredasdorp,64,82,-34.53,63.15,13.02
15,Hermanus,24,40,-34.42,71.97,3.29
16,Saldanha,0,43,-33.01,69.8,14.99
17,Berlevag,88,100,70.86,36.87,10.89
18,Port Alfred,0,71,-33.59,69.05,8.88
19,Qaqortoq,75,39,60.72,44.6,21.92
20,Kindia,8,74,10.06,88.26,3.18
21,Souillac,75,73,-20.52,77.0,13.87
22,Horta (Angústias),40,68,38.53,69.8,17.22
23,Tutoia,20,47,-2.76,95.0,17.22
24,San Pedro del Parana,90,100,-26.83,66.2,10.29
25,East London,20,72,-33.02,68.0,11.41
26,Longyearbyen,75,74,78.22,35.6,6.93
27,Albany,20,44,42.65,59.88,6.93
28,Kruisfontein,0,71,-34.0,66.66,7.76
29,Lagoa,48,100,39.05,69.09,21.74
30,Clyde River,20,78,70.47,12.2,4.7
31,Brus,0,49,43.38,69.8,4.7
32,Chuy,56,95,-33.7,69.68,10.22
33,Grande Riviere Sud Est,75,73,-20.29,77.0,13.87
34,Kamien Pomorski,75,87,53.97,54.46,2.24
35,Ajdabiya,0,24,30.76,88.62,4.63
36,Busselton,8,82,-33.65,69.18,24.76
37,Hithadhoo,0,100,-0.6,83.49,9.33
38,Varnek,56,100,69.71,28.77,3.74
39,Cidreira,92,100,-30.18,66.75,5.41
40,Narsaq,75,39,60.92,44.6,21.92
41,Bambous Virieux,75,73,-20.34,77.0,13.87
42,Vardo,76,100,70.37,40.56,22.53
43,Bubaque,75,66,11.28,89.6,5.82
44,Ornskoldsvik,80,100,63.29,37.4,3.36
45,Tasboget,0,71,44.77,50.0,4.47
46,Upernavik,88,100,72.79,30.03,23.87
47,Zyryanovsk,8,88,49.74,35.93,2.17
48,Cockburn Town,56,100,21.46,83.04,22.08
49,Klaksvik,92,100,62.23,51.8,21.92
50,Punta Arenas,75,42,-53.15,49.15,21.92
51,Kashechewan,56,71,52.3,47.13,19.73
52,Malumfashi,8,31,11.79,92.27,8.43
53,Westport,1,37,41.14,68.68,3.36
54,Caravelas,32,100,-17.71,77.55,16.04
55,La Palma,40,87,33.85,58.69,3.36
56,Lebu,0,100,-37.62,53.12,21.74
57,Adrar,0,25,27.87,86.73,11.23
58,Omboue,64,100,-1.57,78.99,12.8
59,Santa Rosa,75,100,14.31,82.4,3.36
60,Aksarka,92,96,66.56,32.28,13.24
61,Bandarbeyla,0,98,9.49,82.28,13.58
62,Joutseno,20,80,61.12,35.6,5.82
63,Geraldton,92,93,-28.77,64.4,6.93
64,Tsiombe,0,55,-25.3,81.06,11.34
65,Krasnosel’kup,92,97,65.7,32.78,8.77
66,Marly,56,55,50.35,59.56,23.04
67,Ponta do Sol,40,64,32.67,75.2,10.29
68,Rudnik,88,91,69.75,28.37,7.65
69,Bopfingen,0,72,48.85,62.98,8.05
70,Kalagarh,0,76,29.5,69.72,5.41
71,Ugoofaaru,36,100,5.67,82.82,17.05
72,Ilulissat,75,79,69.22,24.8,5.82
73,Pochep,0,84,52.93,37.4,2.24
74,Changji,0,57,44.02,51.8,4.47
75,Gidam,20,93,18.98,73.5,2.95
76,Tonj,12,76,7.27,83.85,5.53
77,Kisangani,12,82,0.52,81.69,2.62
78,Fomboni,0,100,-12.28,80.12,10.11
79,Benguela,0,92,-12.58,76.43,8.77
80,Saint-Philippe,0,73,-21.36,77.0,4.7
81,Scarborough,80,67,54.28,55.36,18.34
82,Sinjar,0,29,36.32,71.79,5.64
83,Amparihy,0,74,-25.02,80.6,3.96
84,Bhawanigarh,0,70,30.27,70.4,6.98
85,Cidade de Nacala,0,87,-14.54,80.88,6.2
86,Sinnamary,80,89,5.38,82.82,13.02
87,Deder,0,27,9.32,78.36,6.2
88,Abu Dhabi,0,52,24.47,88.66,5.82
89,Mar del Plata,40,58,-38.0,57.2,23.04
90,Vila Velha,20,66,-20.33,86.0,16.11
91,Skrunda,0,75,56.68,46.4,5.82
92,Sao Gabriel da Cachoeira,40,70,-0.13,89.6,3.36
93,Puerto Leguizamo,76,98,-0.19,75.17,3.18
94,Mahebourg,75,73,-20.41,77.0,13.87
95,Marsh Harbour,88,100,26.54,79.98,19.17
96,Odienne,8,43,9.51,94.11,9.44
97,Batsfjord,68,100,70.63,40.25,19.51
98,Dombarovskiy,20,70,50.76,33.18,5.97
99,Beyneu,12,82,45.32,49.25,3.74
100,Maloy,8,50,61.94,54.3,26.4
101,Hentiesbaai,0,82,-22.12,63.78,5.86
102,Chester,75,87,53.19,55.4,21.92
103,Yaypan,24,33,40.38,50.19,8.43
104,Cape Town,0,56,-33.93,68.0,12.75
105,Awjilah,0,23,29.11,88.85,6.31
106,Wad Rawah,0,17,15.16,96.81,3.29
107,Castro,12,61,-24.79,77.1,16.15
108,Tocache Nuevo,68,70,-8.18,68.82,2.84
109,Cayenne,75,66,4.93,87.8,14.99
110,Trairi,0,100,-3.28,79.85,24.76
111,Kristinestad,0,100,62.27,32.78,2.28
112,Constantine,88,72,36.37,66.48,2.95
113,Isafjoerdur,90,70,66.08,42.8,2.06
114,Maniitsoq,0,100,65.42,25.17,6.42
115,Kutum,0,14,14.2,87.45,4.63
116,Chama,0,15,-11.21,88.8,18.28
117,Korla,0,66,41.76,42.0,5.41
118,Tome Acu,8,54,-2.42,91.23,7.76
119,Tasiilaq,75,100,65.61,35.6,12.75
120,Dwarka,0,98,22.24,82.32,11.45
121,Brookhaven,1,78,31.58,73.4,9.17
122,Beregovoy,75,47,55.17,33.8,11.18
123,Buraydah,0,19,26.33,91.4,3.36
124,Saryshaghan,20,100,46.12,44.75,2.95
125,Jamestown,1,50,42.1,64.11,4.7
126,Umba,24,100,66.69,37.77,15.7
127,Killybegs,92,100,54.63,51.95,22.08
128,Chipinge,24,68,-20.19,79.67,9.33
129,Sriperumbudur,75,84,12.97,86.0,9.17
130,Thompson,40,80,55.74,41.0,6.93
131,Gumla,0,91,23.05,70.26,3.74
132,Torbay,75,75,47.67,45.55,25.28
133,Carnarvon,36,99,-24.87,67.83,9.66
134,Kommunisticheskiy,92,71,61.68,29.85,8.99
135,The Valley,20,62,18.22,85.14,16.11
136,Porto Walter,80,81,-8.27,82.95,2.95
137,Vestmannaeyjar,56,100,63.44,43.08,8.21
138,Bilma,0,14,18.69,93.21,4.63
139,Foz,88,99,43.57,63.15,23.09
140,Oropesa,75,76,-13.59,62.6,2.24
141,Kovylkino,56,91,54.04,35.52,3.06
142,Kuchaiburi,56,95,22.27,71.16,2.84
143,Rovaniemi,75,92,66.5,30.2,4.7
144,Rawson,0,80,-43.3,53.48,4.74
145,Ribeira Grande,40,68,38.52,69.8,17.22
146,Falmouth,75,81,50.15,50.83,41.38
147,Arraial do Cabo,40,62,-22.97,86.0,9.17
148,Sao Filipe,0,87,14.9,82.05,14.36
149,Vangaindrano,0,70,-23.35,77.19,6.76
150,Doka,48,31,13.52,94.02,5.75
151,Micheweni,56,100,-4.97,79.44,13.8
152,Laajalahti,20,100,60.2,33.8,4.7
153,Iqaluit,20,78,63.75,15.8,26.4
154,Parrita,0,57,9.52,76.98,5.82
155,Padang,64,100,-0.95,82.82,5.75
156,Aswan,0,15,24.09,93.2,11.41
157,Batticaloa,8,100,7.71,81.38,0.94
158,Mednogorsk,64,81,51.41,29.18,3.74
159,Florida,92,98,15.03,70.58,2.06
160,Maldonado,90,77,-34.9,64.4,18.34
161,Atar,0,14,20.52,98.52,6.53
162,Mu??faz?at ?am?h,0,21,35.17,75.66,7.54
163,Nyimba,0,14,-14.56,99.42,12.46
164,Mitsamiouli,40,83,-11.38,82.4,10.29
165,Plouzane,75,76,48.38,55.4,14.99
166,San Juan,32,92,-15.37,61.85,12.12
167,Iranshahr,0,9,27.2,84.2,4.7
168,Luderitz,0,51,-26.65,69.27,12.68
169,Muros,20,58,42.78,59.0,8.05
170,Staroutkinsk,68,66,57.23,28.1,7.76
171,Mercedes,0,78,-34.65,60.5,15.82
172,Porto Belo,40,88,-27.16,69.8,8.05
173,Sidi Bou Ali,20,73,35.96,77.31,10.29
174,Sistranda,0,61,63.73,50.0,19.46
175,Maine-Soroa,0,17,13.21,98.7,7.31
176,Muzhi,92,93,65.37,28.86,12.8
177,Hambantota,88,100,6.12,79.44,11.34
178,Gore,64,95,-46.1,44.03,15.48
179,Yar-Sale,92,95,66.83,32.55,8.99
180,La Libertad,90,88,-2.23,71.6,8.05
181,Port Shepstone,24,86,-30.74,68.87,13.47
182,Walvis Bay,0,95,-22.96,58.11,5.19
183,Warrington,75,93,53.39,55.4,28.86
184,Naryan-Mar,68,97,67.67,32.19,8.1
185,Nushki,0,62,29.55,53.57,2.17
186,Mbanza-Ngungu,0,65,-5.25,85.47,6.42
187,Iquique,75,59,-20.22,64.4,10.29
188,Vuktyl,88,87,63.86,30.03,5.41
189,Muyezerskiy,92,89,63.93,32.1,7.09
190,Kotelnich,80,80,58.31,30.84,7.31
191,Clocolan,0,17,-28.91,76.88,6.87
192,Tessalit,0,19,20.2,93.03,8.43
193,Hypaepa,0,34,38.23,72.6,2.51
194,Riyadh,0,10,24.69,87.8,2.24
195,Goderich,56,76,43.75,62.12,12.01
196,Alleppey,92,100,9.49,77.28,7.09
197,Jaisalmer,0,55,26.91,79.08,5.97
198,Vardenis,0,92,40.18,40.56,2.84
199,Tibati,88,68,6.47,80.97,6.2
200,Kaspiyskiy,88,90,45.39,57.12,5.08
201,Grand Gaube,75,73,-20.01,77.0,13.87
202,Portsoy,90,82,57.68,56.01,14.99
203,Rio Gallegos,40,37,-51.62,53.6,12.75
204,Orgon,0,56,43.79,71.91,6.93
205,Savonlinna,75,100,61.87,32.0,4.7
206,Polyarnyy,40,86,69.2,33.8,6.71
207,Envira,56,84,-7.3,79.35,3.29
208,Havre-Saint-Pierre,75,48,50.23,44.6,19.46
209,Scott County,5,59,38.69,64.4,6.87
210,Kocevje,75,82,45.64,62.64,4.7
211,Ólafsvík,64,100,64.89,44.3,5.86
212,Pokhara,92,88,28.23,60.0,0.94
213,Grand-Santi,8,55,4.25,89.52,4.63
214,Dibulla,75,62,11.27,89.6,18.34
215,Sorland,12,100,67.67,47.72,13.8
216,Monte Alegre,8,52,-2.01,90.65,8.1
217,Oblivskaya,68,70,48.54,47.27,3.4
218,Clemencia,40,70,10.57,91.4,4.7
219,Santiago del Estero,56,65,-27.8,69.32,23.98
220,Barra Patuca,92,100,15.8,77.1,9.44
221,Jarva-Jaani,0,92,59.04,35.12,2.73
222,Husavik,75,87,66.04,44.6,5.82
223,Saint George,1,23,37.1,51.8,4.7
224,Najran,0,18,17.49,80.6,4.7
225,Muisne,76,76,0.6,79.22,4.74
226,Nanortalik,80,92,60.14,36.24,31.92
227,Teriberka,88,81,69.16,34.53,12.12
228,Dalvik,75,87,65.97,44.6,5.82
229,Mecca,0,46,21.43,93.2,9.17
230,New Milford,1,30,40.93,66.76,2.62
231,Saint Anthony,90,82,45.02,60.42,12.75
232,Vestmanna,92,100,62.16,51.8,21.92
233,Hollins,20,72,37.34,64.44,3.4
234,Los Llanos de Aridane,75,61,28.66,77.0,12.75
235,Barcelos,20,67,41.54,63.72,12.75
236,Luena,44,95,-11.78,72.69,4.18
237,Porto Novo,20,58,17.02,86.0,24.16
238,Rocha,36,89,-34.48,65.27,15.03
239,Sirnak,32,31,37.52,49.74,2.17
240,Paamiut,92,100,61.99,32.87,7.43
241,Coihaique,75,58,-45.58,48.2,8.05
242,Montbazens,90,87,44.48,50.85,8.05
243,Ludwigsburg,75,72,48.9,64.4,1.12
244,Esil,88,63,51.96,35.57,7.43
245,Gazanjyk,0,79,39.24,53.97,2.39
246,Khairagarh,0,31,26.95,78.54,2.84
247,Axim,8,99,4.87,80.52,10.78
248,Laguna,1,93,38.42,45.9,3.36
249,Tera,8,21,14.01,99.33,10.67
250,Guspini,20,69,39.54,77.14,6.93
251,Hofn,92,100,64.25,44.12,8.77
252,Cuamba,64,26,-14.8,89.7,9.78
253,Mali,20,50,12.08,96.8,4.7
254,Vila Franca do Campo,75,52,37.72,69.8,13.87
255,Niort,92,63,46.32,58.96,18.34
256,Capinota,20,26,-17.72,68.19,2.39
257,Victoria,90,81,48.43,47.28,19.46
258,Loandjili,75,78,-4.76,80.6,11.41
259,Comodoro Rivadavia,0,51,-45.87,59.0,6.93
260,Gasa,76,93,27.9,28.28,1.83
261,Uyuni,0,23,-20.46,59.42,4.07
262,Asti,75,72,44.9,58.05,2.24
263,Emba,20,73,34.81,73.4,10.29
264,Kabinda,44,81,-6.13,83.04,4.18
265,Sindor,44,80,62.86,29.0,5.64
266,Carutapera,24,61,-1.2,89.12,17.72
267,Ancud,0,66,-41.87,54.38,2.17
268,Georgetown,75,55,6.8,89.6,13.87
269,Saint-Augustin,56,100,51.23,41.15,25.1
270,Sept-Iles,40,45,50.2,42.8,16.11
271,Pisco,40,82,-13.7,64.4,10.29
272,Bershet,75,80,57.73,30.2,6.71
273,Kercem,20,78,36.04,73.4,6.93
274,Rundu,48,32,-17.93,91.86,7.87
275,Shakawe,76,33,-18.37,87.32,4.18
276,Pindushi,68,100,62.92,32.55,12.8
277,Gorele,40,77,41.03,64.4,3.36
278,Ciuperceni,0,47,43.77,70.17,7.99
279,Bol’shaya Sosnova,20,76,57.67,28.41,7.65
280,Chapais,1,67,49.78,41.0,9.17
281,Pamplona,75,67,42.82,60.21,10.29
282,Brazzaville,40,49,-4.27,90.36,8.05
283,Lucapa,8,63,-8.42,86.01,4.18
284,Waddan,76,19,29.16,84.84,8.21
285,Isiro,68,78,2.77,79.89,2.73
286,Plettenberg Bay,0,96,-34.05,60.99,6.53
287,Salalah,0,74,17.02,82.4,3.36
288,Oranjemund,0,88,-28.55,60.77,25.77
289,Kabompo,32,46,-13.59,85.65,11.01
290,Tubuala,40,70,9.52,89.6,8.05
291,Kanalion,20,69,39.61,73.4,12.75
292,Sayyan,12,28,15.17,67.65,6.64
293,Shenstone,75,81,52.63,54.28,17.22
294,Felege Neway,64,85,6.3,71.79,1.83
295,Port Blair,36,98,11.67,84.39,9.89
296,Skibbereen,75,81,51.55,51.8,28.86
297,Hauterive,90,62,46.09,57.13,11.41
298,Powiat d?bicki,40,87,50.0,55.4,3.36
299,Perigueux,90,82,45.18,57.11,9.17
300,Mwense,0,20,-10.38,90.92,7.2
301,Talnakh,80,91,69.49,24.81,3.29
302,Vytegra,0,100,61.01,34.89,16.6
303,Jaque,92,99,7.52,74.22,2.17
304,Cacoal,64,83,-11.44,83.58,2.95
305,Qiryat Gat,20,64,31.61,75.2,9.17
306,Harur,68,89,12.07,77.42,3.29
307,Bathsheba,40,70,13.22,87.8,25.28
308,Weligama,100,93,5.97,80.43,8.66
309,Bensonville,75,74,6.45,87.8,13.87
310,Tqvarcheli,0,96,42.84,63.51,2.73
311,Senanga,8,25,-16.12,94.02,13.02
312,Tema,20,79,5.67,84.2,14.99
313,Koscierzyna,90,100,54.12,51.8,4.7
314,San Cristobal,40,48,7.77,87.8,20.8
315,Noormarkku,90,100,61.59,32.0,3.36
316,Kashi,0,27,39.45,53.6,8.95
317,Tsiroanomandidy,0,24,-18.77,79.98,8.77
318,Palm Beach,75,78,26.71,83.16,14.99
319,Bluffton,1,69,32.24,75.69,8.05
320,Cap Malheureux,75,73,-19.98,77.0,13.87
321,Ostrovnoy,88,95,68.05,31.7,16.26
322,Aasiaat,80,100,68.71,30.03,0.94
323,Eydhafushi,36,100,5.1,82.82,17.05
324,Lowestoft,40,62,52.48,57.88,25.28
325,Arlit,0,15,18.74,95.73,7.43
326,Paso de los Toros,90,77,-32.82,66.2,16.11
327,Klenovyy,92,96,48.12,47.04,7.99
328,Luanda,20,74,-8.84,80.6,12.75
329,Malatya,0,47,38.5,55.4,5.82
330,Gubkinskiy,88,97,64.43,33.09,7.65
331,Codrington,92,98,-38.27,54.69,12.8
332,Maunabo,40,66,18.01,85.95,16.11
333,Bay Saint Louis,40,83,30.31,76.12,5.82
334,Zapolyarnyy,88,96,69.42,35.6,6.93
335,La Primavera,80,98,5.49,78.63,8.88
336,New Glasgow,0,67,45.58,51.23,14.36
337,Balkanabat,0,83,39.51,53.75,3.18
338,Mehamn,80,100,71.04,35.07,7.76
339,Guiratinga,88,30,-16.35,97.53,7.65
340,Margate,40,58,51.38,57.2,28.86
341,Toktogul,20,80,41.87,25.44,0.94
342,Quatre Cocos,75,73,-20.21,77.0,13.87
343,Povenets,68,100,62.85,32.55,12.8
344,Kavaratti,20,100,10.57,81.42,6.08
345,Tutin,8,34,42.99,65.27,2.17
346,Namanga,64,42,-2.54,77.42,8.88
347,Kudahuvadhoo,68,100,2.67,82.55,10.11
348,Kuntaur,0,59,13.67,95.91,5.64
349,Ondjiva,0,16,-17.07,97.71,12.01
350,Bella Vista,75,69,36.43,71.58,16.11
351,Clermont,20,54,28.55,81.59,11.68
352,Bria,0,56,6.54,87.63,7.54
353,Stavern,90,100,59.0,46.54,8.05
354,Paranhos,48,83,-23.89,81.69,8.66
355,Manoel Urbano,12,69,-8.84,82.37,3.85
356,Horta,40,68,38.53,69.8,17.22
357,Argir,92,100,62.0,51.8,21.92
358,Molina,0,66,-35.12,55.4,10.29
359,Pelym,68,64,61.01,29.4,6.98
360,Salamanca,0,44,40.97,59.0,12.75
361,Verkh-Suetka,24,94,53.3,40.43,8.1
362,Beloha,12,56,-25.17,79.13,14.03
363,Puerto del Rosario,40,73,28.5,77.99,16.11
364,Namibe,0,100,-15.2,71.7,9.78
365,General Roca,0,29,-39.03,60.8,8.05
366,Abha,20,64,18.22,73.49,6.93
367,Bindura,76,26,-17.3,85.25,13.02
368,Gaffney,1,45,35.07,67.8,3.51
369,Hualmay,0,72,-11.1,70.62,3.62
370,Kokstad,0,70,-30.55,63.87,3.18
371,Sira,24,75,13.75,72.51,4.63
372,Gayny,64,70,60.31,28.32,9.55
373,Port Victoria,8,97,-34.5,54.6,11.45
374,Sur,0,86,22.57,87.05,8.32
375,Taltal,0,71,-25.4,69.81,1.83
376,Candido Mendes,0,85,-1.45,84.84,22.64
377,Horki,80,87,54.29,39.39,3.96
378,Olbia,20,60,40.92,75.2,8.05
379,Bonthe,20,74,7.53,87.5,2.95
380,Tshela,8,67,-4.98,85.74,5.41
381,Mindelo,0,88,16.89,81.33,11.56
382,Armacao de Buzios,40,62,-22.75,86.0,9.17
383,Camana,36,100,-16.62,60.68,6.08
384,Quelimane,20,74,-17.88,82.4,18.34
385,Ilo,12,93,-17.64,62.43,3.96
386,Kasongo-Lunda,36,79,-6.47,80.52,1.95
387,Yarmouth,1,48,41.71,66.0,6.93
388,Calceta,40,74,-0.85,78.8,10.29
389,Itambe,40,40,-15.24,86.0,10.29
390,Akhmim,0,36,26.56,78.63,7.31
391,Konotop,100,69,51.24,45.96,6.2
392,Ponta Delgada,75,52,37.73,69.8,13.87
393,Yarada,20,94,17.65,87.81,13.91
394,Breda,40,59,51.59,60.8,11.41
395,Fuerte Olimpo,12,61,-21.04,92.49,15.48
396,Richards Bay,88,82,-28.78,68.42,4.52
397,Nuqui,92,100,5.71,76.2,6.64
398,Monrovia,75,74,6.3,87.8,13.87
399,Berkak,24,55,62.83,45.47,9.55
400,Leon,5,72,21.12,64.4,3.18
401,Samora Correia,20,49,38.94,70.03,17.22
402,Ous,68,64,60.91,29.4,6.98
403,Pimenta Bueno,64,83,-11.67,83.58,2.95
404,Kralendijk,75,66,12.15,87.8,27.51
405,Harbour Breton,48,100,47.48,48.66,23.98
406,Daura,0,22,11.55,96.45,6.87
407,Sao Luiz Gonzaga,92,99,-28.41,69.27,11.45
408,Derzhavinsk,0,79,51.1,33.95,7.31
409,Igarka,92,91,67.47,29.18,14.47
410,Roald,0,54,62.58,57.2,12.75
411,Al Manaqil,0,16,14.25,97.53,3.4
412,Kontagora,8,54,10.4,92.72,6.76
413,Nuevitas,20,74,21.55,84.2,10.29
414,Baixo Guandu,0,39,-19.52,87.5,9.44
415,Saint-Michel-des-Saints,0,67,46.68,57.03,3.06
416,Pointe Michel,20,49,15.25,87.67,10.29
417,Kayes,0,42,14.44,98.3,6.87
418,Solapur,36,67,17.68,78.32,5.97
419,Kirkwall,40,93,58.98,54.37,17.22
420,Sao Joao da Barra,40,51,-21.64,86.0,9.17
421,Hobyo,8,86,5.35,79.62,11.12
422,Mao,20,78,39.89,71.6,8.05
423,Andenes,64,75,69.31,42.8,9.17
424,Janossomorja,75,93,47.79,54.48,5.82
425,Rizokarpaso,0,88,35.6,76.07,10.67
426,Veshchevo,20,80,60.73,35.6,5.82
427,Morondava,0,61,-20.28,86.73,7.99
428,Bage,80,96,-31.33,69.18,8.99
429,Havoysund,92,80,71.0,39.2,6.93
430,Mandera,8,85,3.94,78.45,4.41
431,Ferrol,40,67,43.48,59.0,9.17
432,Lerwick,92,87,60.15,52.7,32.21
433,Uvarovo,44,72,51.98,38.13,5.3
434,Bengkulu,80,100,-3.8,82.14,8.66
435,Divala,20,83,8.42,82.4,4.7
436,Domanivka,56,68,47.63,60.5,4.41
437,Scranton,1,58,41.41,64.06,3.36
438,Luangwa,0,16,-15.62,98.25,16.37
439,Rezina,68,74,47.75,61.17,5.75
440,Gilgit,8,34,35.92,39.75,1.16
441,Dingle,80,97,11.0,75.57,8.88
442,Barah,0,20,13.7,95.78,3.06
443,Manzanares,12,67,39.0,70.85,8.1
444,Marabba,20,22,12.35,98.48,3.74
445,Turkestan,0,68,43.33,48.62,3.62
446,Delmas,92,50,-26.15,75.2,10.29
447,Agapovka,90,68,53.3,24.8,6.71
448,Nizwa,0,27,22.93,79.89,5.41
449,Kalmunai,48,77,7.42,80.79,7.31
450,Toliara,0,51,-23.35,86.28,15.7
451,Lubango,8,28,-14.92,89.34,3.74
452,Banepa,40,88,27.63,66.2,3.36
453,Imbituva,32,78,-25.23,76.29,17.16
454,Gravdal,0,100,68.12,46.82,14.36
455,El Jicaro,68,71,14.92,72.69,1.95
456,Brae,92,87,60.4,52.57,32.21
457,Bumba,32,81,2.18,82.86,3.74
458,Ambilobe,0,45,-13.2,84.3,19.39
459,Kauniainen,20,100,60.21,33.8,4.7
460,Skjervoy,88,100,70.03,44.3,10.78
461,Cabo Rojo,5,62,18.09,86.94,17.22
462,Kem,56,100,64.96,36.15,12.35
463,Viedma,76,51,-40.81,55.77,15.26
464,Algiers,0,62,36.75,71.43,4.41
465,Chimbote,0,89,-9.09,65.49,4.63
466,Norton Shores,90,52,43.17,65.3,16.11
467,Zaruma,0,44,-3.68,82.37,3.4
468,Buarcos,20,59,40.17,66.2,17.22
469,Vilhena,0,66,-12.74,84.2,6.93
470,Vayk,40,40,39.69,53.6,2.24
471,Koukkuniemi,20,100,60.15,33.8,4.7
472,Minab,0,68,27.15,78.54,4.07
473,Sulzbach-Rosenberg,75,68,49.5,62.56,2.24
474,Nova Vicosa,68,78,-17.89,82.55,12.35
475,Gravatai,90,83,-29.94,71.6,6.93
476,Lieksa,92,88,63.32,31.92,7.54
477,Hadejia,0,20,12.45,97.98,8.21
478,Santa Maria,75,94,-29.68,69.8,8.05
479,Zhangaqorghan,44,71,43.91,47.9,3.4
480,Saint-Joseph,75,69,-21.37,77.0,14.99
481,Japura,8,89,-0.32,78.77,3.4
482,Santiago,0,39,-33.46,66.2,3.36
483,Estelle,40,78,29.85,78.49,6.93
484,Chicama,75,82,-7.84,64.4,10.29
485,Notse,24,76,6.95,88.13,1.39
486,Agadir,0,57,30.42,78.8,11.41
487,Tupaciguara,24,47,-18.59,89.97,3.51
488,Havelock,1,85,34.88,72.48,4.7
489,Cornélio Procópio,75,69,-23.18,77.0,1.12
490,Pithora,76,79,21.27,80.3,4.18
491,Marystown,88,91,47.17,48.66,20.29
492,Pedregulho,88,33,-20.26,88.08,12.8
493,Toumboudrané,0,19,15.21,102.48,11.68
494,Pitimbu,75,83,-7.47,80.6,14.99
495,Maputo,75,60,-25.97,73.4,4.7
496,Vallenar,0,65,-28.57,70.4,2.73
497,Novobirilyussy,0,97,56.95,36.65,7.76
498,San Ramon,1,87,37.78,47.03,2.39
499,Mishkino,68,59,55.34,29.0,8.77
